Name,Gender,Age,Occupation,ZIP-code,2,56,247,260,653,673,810,885,1009,1073,1097,1126,1525,1654,1702,1750,1881,1920,1967,2017,2021,2043,2086,2087,2093,2100,2105,2138,2143,2174,2193,2253,2399,2628,2797,2872,2968,3393,3438,3439,3440,3466,3479,3489,3877,3889
Waylan Kirton,M,25,8,794,0,3,4,3,a,0,2,3,4,1,4,5,3,4,3,4,4,5,5,4,3,0,4,0,4,4,3,1,4,4,3,0,5,1,3,4,3,5,4,5,2,2,0,3,3,4
Jamal Seamon,M,50,8,322,0,4,0,3,2,a,a,4,2,2,1,5,2,3,3,5,4,3,4,3,4,3,4,4,4,3,0,5,3,4,1,0,2,4,3,0,0,2,2,3,1,5,2,0,1,5
Garvy Abyss,M,35,8,975,3,1,3,2,3,1,3,2,0,1,2,1,1,0,2,1,2,4,1,1,3,1,4,2,0,5,4,1,0,0,0,0,5,5,1,3,0,3,3,1,4,5,4,4,3,4
Arline Morales,F,1,9,140,4,0,5,4,5,2,0,4,1,2,4,2,0,0,3,5,4,5,2,2,3,4,2,1,0,2,0,4,1,1,2,5,1,1,5,0,2,1,3,0,5,4,5,4,4,4
Babbie Lorroway,F,1,3,942,1,2,1,2,0,3,4,2,3,2,5,0,1,1,2,1,0,3,3,5,2,1,2,0,4,5,4,0,4,0,0,4,1,5,2,0,4,4,3,2,3,1,4,3,0,2
Corissa Parham,F,56,11,180,0,3,1,0,4,2,2,3,1,1,2,4,5,3,0,5,5,3,2,5,3,2,5,3,1,2,2,5,3,5,0,3,2,0,4,2,4,5,1,3,2,5,1,1,4,0
Sue Mackriell,F,56,14,453,5,4,3,1,3,0,4,0,0,4,2,3,2,1,3,0,4,4,5,5,2,1,3,1,2,4,5,5,3,4,3,2,1,2,3,2,3,1,5,5,1,4,3,1,0,4
Barney D'Orsay,M,50,8,764,4,4,0,4,1,5,4,3,4,0,0,2,3,3,2,5,3,4,2,4,5,4,4,3,4,4,1,1,4,4,0,4,4,3,2,4,5,4,0,3,4,0,3,4,2,4
Ailsun Beauchamp,F,1,19,482,2,0,3,3,5,1,4,0,3,0,3,5,3,4,3,1,5,5,5,4,5,1,4,5,2,0,0,5,4,5,1,3,4,3,1,1,5,5,3,3,0,3,5,3,3,5
Herby Signe,M,56,10,965,1,3,2,3,4,1,4,4,0,2,4,1,1,1,2,3,1,1,0,5,2,1,4,2,2,4,0,3,0,0,1,3,5,5,2,4,3,2,0,2,0,4,0,0,0,4
Dorree Labbati,F,56,2,382,4,2,5,4,2,2,0,5,5,4,4,1,4,2,1,2,2,3,2,1,4,0,5,3,5,0,4,3,4,3,2,5,4,4,0,5,3,3,2,3,2,3,3,3,2,2
Gerhardt Youll,M,50,11,325,1,2,1,2,4,1,2,4,0,3,0,1,5,2,5,3,3,4,2,1,2,4,3,1,5,2,5,5,5,5,4,0,1,2,5,5,5,0,3,3,5,5,1,5,2,1
Thorpe Wolfe,M,18,7,190,3,3,1,2,5,5,2,3,3,3,3,0,4,0,5,4,5,3,3,4,3,2,2,1,3,2,0,2,2,4,1,3,1,0,1,0,5,4,3,1,1,0,1,5,0,2
Fayette Hucklesby,F,35,15,417,0,0,3,2,3,4,4,5,3,4,4,3,0,1,2,1,3,0,1,2,5,1,0,4,1,4,2,1,5,1,0,2,1,3,1,0,1,3,0,3,5,0,5,2,4,4
Sybila Heams,F,18,10,604,2,4,0,5,1,3,4,5,5,1,0,3,3,1,2,0,3,4,1,3,0,5,4,3,3,3,4,2,3,4,3,4,5,4,4,4,0,2,0,0,0,5,4,1,3,5
Kenny Managh,M,56,9,953,3,0,5,4,1,5,2,2,1,4,0,5,4,1,3,0,1,0,5,4,0,2,0,0,2,2,5,4,0,3,4,0,3,0,0,1,5,5,2,3,5,2,1,4,5,0
Danya Cahani,M,18,0,501,2,2,5,2,2,4,1,5,1,4,1,3,4,2,4,2,4,3,0,1,0,4,4,2,4,4,1,5,4,3,5,2,5,5,0,2,0,0,0,4,3,4,3,5,1,5
Dionisio Tunniclisse,M,18,14,297,3,3,1,2,2,2,2,5,3,2,4,1,1,3,2,3,5,1,1,4,4,5,2,2,2,4,3,0,0,0,2,5,4,2,2,1,2,4,1,0,1,1,3,2,2,5
Dasi Carbine,F,18,16,830,3,4,4,5,3,2,3,2,1,0,2,2,2,0,1,3,1,0,1,4,4,1,5,2,1,3,3,4,0,0,2,5,4,5,4,2,1,3,1,0,2,1,3,4,2,4
Darsie Crocombe,F,45,10,28,3,1,1,4,3,4,4,3,5,5,1,2,0,1,4,1,2,0,3,2,5,1,4,5,0,3,3,1,4,4,4,3,4,4,0,2,0,2,4,2,0,0,3,0,4,1
Gipsy Gobbett,F,25,9,834,0,2,3,0,2,5,1,2,0,0,3,2,1,3,2,5,3,4,2,4,5,2,4,3,4,1,5,5,0,2,0,3,4,3,5,4,1,2,5,1,4,5,3,4,5,2
Filippo Bettlestone,M,56,8,41,1,1,4,5,2,5,3,2,0,5,1,0,5,2,0,5,1,5,4,1,4,4,4,5,5,3,2,4,5,5,4,5,5,0,1,4,3,4,5,0,0,4,0,4,3,2
Anderson Rame,M,18,0,150,0,0,4,0,1,4,4,a,1,5,4,5,3,0,3,1,3,5,4,5,2,1,2,4,4,4,0,1,0,4,1,2,4,1,1,4,0,2,4,4,0,5,5,2,2,2
Andee Roderighi,F,50,4,485,0,4,3,2,4,1,4,2,5,2,3,0,1,3,2,3,3,3,1,0,4,3,2,2,5,1,3,1,0,0,2,4,5,0,2,0,0,3,5,0,2,0,4,4,0,2
Cortney Gebuhr,F,56,15,834,1,3,0,4,4,0,4,3,1,3,4,5,4,0,3,0,3,3,4,3,0,2,0,0,2,1,5,4,5,0,5,4,0,5,4,4,4,5,2,0,1,2,3,2,0,4
Caty Vaun,F,50,3,975,2,2,0,0,0,2,3,2,5,0,0,5,5,3,1,5,1,3,2,1,3,5,2,1,4,4,0,0,5,1,0,4,1,3,5,0,2,3,5,2,4,3,3,2,4,4
Phillip Lantiffe,M,45,16,62,5,2,3,4,2,5,0,2,0,0,4,3,2,3,5,5,4,3,5,0,0,2,5,0,2,3,0,2,3,3,1,5,3,4,4,1,4,0,4,1,1,5,1,3,5,4
Eberto Albinson,M,1,8,926,2,1,3,2,0,1,2,0,4,111,0,1,5,1,1,4,1,4,2,1,5,5,2,4,1,2,2,4,3,1,3,1,0,1,3,5,2,3,5,2,1,3,0,5,0,5
Luca Passman,M,18,0,31,1,2,1,2,5,1,3,5,0,0,1,0,3,0,2,3,4,1,4,5,2,5,2,0,4,3,4,4,4,4,4,2,0,3,0,4,0,4,3,5,5,1,4,3,5,2
Dora Edgehill,F,45,9,655,0,1,1,0,3,3,3,5,3,4,1,5,1,0,4,1,4,3,1,5,2,1,2,0,0,3,5,2,3,0,5,2,1,0,2,0,1,2,3,2,1,0,3,5,0,2
Thom Ludee,M,56,7,554,3,0,1,2,1,5,4,5,0,1,4,5,5,3,1,2,0,3,3,1,1,5,3,0,5,0,2,2,3,2,0,3,4,0,1,4,1,0,0,4,2,0,1,3,5,1
Hans O'Calleran,M,1,14,837,4,1,1,2,5,3,4,0,4,4,2,0,0,2,2,3,1,4,5,3,4,5,3,0,4,2,3,4,5,2,3,2,1,1,4,1,2,4,5,3,3,1,1,3,0,0
Harriot Niesel,F,45,19,833,3,2,1,5,1,4,4,4,5,0,0,3,2,0,5,2,2,3,3,5,2,4,4,0,4,0,2,4,3,3,0,5,1,5,3,1,1,5,4,1,2,4,1,1,0,1
Jordan Fallowes,F,35,13,273,3,2,0,2,2,1,3,1,5,5,5,0,1,5,5,4,4,0,2,1,3,5,2,1,0,1,0,2,0,3,1,2,0,3,5,1,1,2,0,2,0,3,5,1,5,2
Deb Collumbell,F,56,8,997,0,0,0,3,0,2,0,0,0,1,2,1,2,1,3,4,0,3,3,5,0,4,4,5,5,2,3,5,4,4,3,4,4,3,0,1,2,2,0,4,5,5,5,1,2,4
Dolf Stother,M,25,14,446,3,4,3,2,5,3,2,0,4,1,5,3,3,0,3,1,2,3,0,5,3,1,4,2,4,4,0,1,5,5,3,4,5,5,0,1,1,3,1,4,1,0,4,2,5,5
Miltie Paraman,M,1,9,527,2,0,1,5,5,4,2,5,5,2,1,0,1,0,4,2,2,3,1,4,3,3,4,4,0,0,1,1,5,2,1,3,3,0,5,1,0,5,4,2,1,2,3,0,0,2
Chrissy Lloyds,M,56,0,49,4,3,0,3,0,5,0,1,1,2,4,1,1,5,1,5,0,0,4,2,3,2,4,3,1,5,4,5,4,3,1,2,3,0,4,3,5,5,4,4,3,5,0,3,3,0
Edsel Gartsyde,M,35,15,432,4,0,0,2,2,4,4,2,5,3,3,2,4,5,3,4,2,4,0,5,5,1,0,4,1,5,3,5,2,0,5,4,5,1,3,3,5,2,5,5,5,5,3,1,4,2
Nonie Paradis,F,1,3,627,4,1,5,4,1,5,4,1,1,4,5,1,0,0,2,5,4,3,4,3,4,4,5,4,0,1,5,1,5,2,1,3,4,0,3,4,0,3,3,4,1,0,3,4,5,0
Kendall Stickens,M,18,3,64,4,2,1,4,5,4,3,0,0,5,3,2,2,3,3,1,2,4,4,5,2,0,2,4,4,0,0,2,0,4,1,4,4,5,1,1,4,2,4,1,2,5,2,3,2,2
Christian Hegdonne,M,56,17,761,1,2,3,2,5,5,3,0,5,2,3,2,4,0,2,1,4,2,5,1,2,1,0,5,2,2,2,2,2,5,0,2,5,1,0,4,4,3,0,4,2,0,1,3,3,5
Jemmy Lay,F,50,8,229,1,1,5,4,2,3,3,2,1,2,3,4,0,5,5,3,1,2,4,1,4,1,4,4,3,0,5,4,1,3,1,0,4,4,1,3,1,1,0,2,0,4,2,2,2,0
Malanie Duly,F,18,17,974,1,0,1,1,0,1,2,5,1,4,2,3,5,1,4,0,3,4,2,3,0,2,4,3,3,1,0,4,3,1,2,0,3,2,4,0,3,1,4,0,1,2,3,1,4,5
Heath Betser,M,56,9,700,4,4,2,3,5,2,2,2,1,4,2,5,3,0,3,2,5,3,0,4,3,5,4,4,5,4,1,4,5,2,5,5,4,5,4,1,0,2,5,4,2,5,2,5,4,5
Vally Islep,F,35,9,658,1,3,1,1,4,4,1,3,0,1,0,0,3,3,2,4,4,1,1,0,3,4,0,0,0,3,3,1,2,4,4,0,5,3,5,4,5,2,3,4,4,5,0,5,3,2
Rafaelita Farriar,F,56,4,309,0,2,1,0,2,4,1,4,4,4,5,2,5,0,0,3,4,4,5,2,1,2,5,5,4,1,0,1,3,5,1,2,5,2,0,4,1,3,4,1,0,2,0,2,3,4
Mitchael Meachen,M,35,8,186,0,2,4,5,0,4,0,2,3,4,5,2,4,3,3,2,1,3,1,0,0,5,0,2,4,4,1,3,0,0,0,3,1,3,0,0,0,3,4,4,4,0,3,3,0,5
Cacilie Cawdron,F,1,9,720,1,4,3,4,0,4,3,5,1,0,2,4,3,3,5,3,1,4,5,4,1,3,4,5,4,1,5,1,4,1,0,1,1,0,0,5,3,4,0,1,2,0,1,2,3,3
Kimmie Cherryman,F,1,2,772,2,3,0,2,3,4,4,2,0,1,4,0,5,0,4,1,4,3,1,5,2,4,2,4,4,1,5,2,3,3,3,3,4,5,1,5,2,1,4,5,1,2,3,2,2,2
Mia Seabrook,F,50,14,944,2,0,5,4,0,4,0,4,1,4,3,2,4,4,3,5,3,5,0,2,3,4,2,1,2,4,0,2,4,0,5,0,1,0,0,2,4,1,4,5,5,4,3,0,1,4
Judie Dinsell,F,45,15,245,0,0,4,5,4,2,3,5,3,4,3,0,1,0,1,2,5,3,0,2,2,0,0,3,4,4,0,2,5,1,1,2,5,0,2,0,4,3,3,1,1,3,3,2,4,5
Amory Shier,M,56,14,28,4,0,0,0,4,5,3,4,2,2,0,2,0,1,2,5,1,3,2,0,5,4,4,3,1,1,5,0,1,2,1,0,4,2,4,4,2,3,3,2,1,0,3,5,5,2
Jone Kiddye,M,18,8,336,3,3,0,4,4,5,3,4,0,5,4,5,0,0,3,0,4,3,5,3,0,2,0,0,0,1,5,4,4,1,1,4,3,5,5,0,0,5,1,2,1,2,3,1,4,0
Des Fookes,M,35,0,180,3,2,1,5,0,5,0,2,4,4,3,1,0,1,1,1,5,0,0,0,1,4,4,1,1,0,1,1,5,4,5,2,2,5,5,2,0,5,2,5,4,2,1,5,1,0
Saxon Cajkler,M,35,15,281,1,4,1,2,2,5,1,1,2,3,3,1,4,4,1,2,1,4,4,2,1,2,3,4,4,3,5,1,4,3,4,5,2,3,4,5,3,2,2,3,0,2,5,1,0,1
Kirsten Bardwall,F,1,10,20,3,4,0,0,3,0,2,0,1,1,3,4,3,0,2,2,0,3,0,4,3,1,4,4,1,0,4,5,5,4,0,4,0,0,4,3,1,3,4,1,1,0,2,1,5,3
Cornelia Arundell,F,18,5,968,1,0,4,4,2,5,0,3,1,4,5,5,0,0,3,1,2,3,2,0,1,4,3,0,5,4,0,4,5,3,1,4,4,5,0,1,1,5,4,1,0,2,5,5,5,0
Adela Findon,F,1,3,837,0,0,4,0,5,4,3,0,3,2,0,5,5,2,3,1,4,1,4,5,2,5,2,4,4,1,0,1,2,4,1,2,4,0,1,1,3,2,0,1,0,5,5,5,2,4
Hirsch Beckhouse,M,18,15,352,3,3,3,1,5,3,1,1,3,0,4,4,5,3,2,3,1,2,5,2,1,5,5,5,4,4,0,1,5,5,0,3,3,2,2,1,4,4,3,0,4,1,3,5,1,4
Abbie Daniaud,F,56,5,674,1,2,4,5,5,3,3,0,3,2,5,2,3,1,2,3,1,0,5,5,1,3,5,5,4,0,3,3,5,4,3,0,3,1,1,0,3,3,1,5,1,0,3,4,0,4
Krisha Wrassell,M,45,1,313,0,3,0,5,1,5,2,5,1,1,1,3,1,3,1,5,1,3,5,4,0,1,4,3,2,5,4,4,0,3,5,0,3,0,5,3,0,2,2,2,2,2,4,5,3,5
Genovera Molian,F,25,11,931,3,0,3,2,5,5,1,2,4,2,4,0,4,0,5,4,0,3,2,0,3,2,2,1,2,2,0,2,5,4,0,1,1,5,5,3,3,3,2,2,2,0,1,1,5,2
Marja Graysmark,F,18,2,658,5,0,3,3,0,2,0,4,1,2,1,5,0,0,4,0,3,5,0,5,0,2,4,3,3,1,4,1,1,4,1,3,5,0,4,4,4,4,0,4,1,2,3,3,2,2
Dwain Spitell,M,35,11,641,2,3,0,5,5,2,2,3,1,0,2,5,2,4,3,3,4,3,0,5,1,1,5,5,4,0,3,4,0,4,2,1,1,0,0,2,0,5,5,1,5,2,5,2,1,2
Nollie Brownlee,M,50,19,793,3,1,2,0,0,1,3,1,3,5,4,2,5,2,4,2,4,3,3,2,2,4,0,5,2,0,2,0,0,1,3,5,0,5,2,5,3,0,5,2,2,4,0,1,0,4
Torre Ravillas,M,50,8,441,2,1,1,2,1,5,4,2,3,0,3,2,0,5,2,3,1,1,5,1,4,1,4,5,5,5,4,2,3,3,0,0,5,3,1,5,3,4,2,0,3,1,4,0,4,4
Codie Phillps,F,45,15,805,1,2,1,4,0,3,0,2,1,4,3,5,1,0,4,0,5,3,5,5,0,1,0,0,2,4,5,1,3,0,4,2,3,0,0,3,3,2,1,3,0,0,3,2,3,0
Ethelbert Huson,M,18,8,196,3,2,5,4,2,4,4,5,0,5,0,2,1,1,2,0,1,1,3,0,4,1,4,5,0,2,5,1,1,0,4,0,5,3,0,3,3,4,4,3,5,0,1,4,4,5
Taddeo Whitta,M,56,3,79,4,3,3,1,4,3,0,1,3,0,3,0,0,3,1,0,3,1,5,0,0,4,4,3,2,4,4,4,1,4,2,3,3,2,2,4,5,5,5,3,1,2,2,1,3,4
Shir Schaumaker,F,45,13,275,4,4,4,3,5,2,4,2,1,0,3,1,3,0,3,2,5,2,2,4,5,0,4,3,4,1,0,1,1,5,0,4,4,0,0,4,3,5,0,2,1,3,5,2,3,0
Enrique Whipp,M,45,10,939,3,1,0,3,5,1,3,2,3,4,2,1,3,3,3,2,2,3,2,5,2,0,4,3,4,0,1,1,5,4,2,5,4,3,1,1,4,5,2,1,3,3,5,5,2,4
Uri Collingworth,M,18,15,210,0,3,5,4,2,1,2,2,1,4,1,3,0,2,5,3,4,5,4,5,5,2,0,0,4,1,5,2,5,0,4,2,0,5,4,0,1,3,3,3,0,5,3,3,0,3
Krystal Caddick,F,45,18,951,2,0,3,5,3,1,4,4,4,4,3,2,5,3,4,4,4,3,2,1,3,3,0,0,5,3,3,4,3,1,4,0,5,3,2,5,3,0,5,2,0,4,3,5,0,5
Sarah Hissie,F,35,0,65,3,0,1,5,5,2,4,2,3,3,0,3,3,0,3,0,4,2,1,0,4,3,0,5,0,1,5,0,2,5,5,3,0,0,2,2,1,5,0,0,1,3,4,2,4,4
Shoshana Trowl,F,56,8,761,5,0,0,1,5,0,3,5,4,4,5,0,1,4,2,0,5,3,5,5,0,3,0,0,2,3,5,1,3,2,4,4,3,2,0,1,4,3,5,3,4,4,2,2,0,0
Darn July,M,1,16,417,2,0,2,0,2,5,4,1,4,4,5,5,1,3,4,4,3,3,0,1,1,0,2,3,1,1,3,1,3,0,3,3,2,5,5,0,2,0,5,5,2,1,0,1,0,4
Ninnetta Dabney,F,18,6,603,5,1,4,5,0,5,2,3,1,1,1,5,3,3,5,3,4,2,1,3,0,5,4,4,2,4,2,1,2,1,0,0,1,4,0,0,1,3,3,4,0,1,0,0,4,4
Ransom Edyson,M,50,18,223,4,1,1,2,2,2,0,1,1,3,4,5,0,3,3,0,2,2,4,0,1,5,3,4,4,5,5,2,4,3,4,3,0,0,3,1,2,4,3,3,2,5,4,0,5,1
Kerby Heaviside,M,56,6,180,0,2,4,3,2,2,1,3,3,0,2,5,0,1,3,2,3,3,1,3,0,5,4,2,3,1,1,0,4,1,0,0,1,3,0,0,2,2,0,3,5,0,5,4,4,5
Hildagarde Duigan,F,18,7,221,2,2,2,0,1,1,4,3,2,2,1,2,2,3,5,3,0,3,0,4,1,1,4,3,1,5,5,0,3,2,1,5,0,1,0,1,5,5,5,1,1,1,3,1,0,5
Amargo Durtnell,F,35,7,799,4,1,4,0,1,4,4,0,0,2,0,5,5,2,3,1,2,1,1,5,2,1,2,4,1,0,0,4,2,4,0,4,4,5,1,2,4,2,1,2,3,5,5,5,4,4
Alexandr Floodgate,M,35,10,441,2,4,4,5,1,5,4,4,1,2,2,0,2,0,1,5,2,3,5,5,0,5,4,3,3,1,4,2,3,4,5,4,5,0,4,2,5,3,4,0,1,3,5,2,0,4
Max Cullingworth,M,25,11,461,1,0,1,1,5,0,4,1,0,2,5,1,5,3,1,4,4,3,1,3,4,0,0,4,4,1,5,1,2,2,3,3,1,5,1,1,4,2,5,5,2,1,1,2,1,3
Prue Trevor,F,25,0,197,1,1,0,2,5,5,2,0,3,0,1,1,4,1,5,4,4,0,2,4,3,0,2,1,2,1,0,1,3,4,0,2,1,2,2,3,2,2,1,2,1,2,0,1,5,5
Wally Crutch,M,50,10,405,1,4,3,2,5,5,2,5,5,1,3,1,0,2,1,0,4,2,0,0,1,4,3,4,4,0,4,0,4,4,0,5,2,4,4,3,3,3,2,3,2,1,1,1,0,1
Kikelia Bottle,F,50,9,787,1,1,3,0,5,4,3,0,2,0,4,5,4,0,3,2,4,2,2,2,2,3,2,4,1,3,0,1,3,3,4,2,2,4,3,4,4,4,5,4,2,2,2,3,1,2
Therese Caslett,F,35,15,146,0,2,0,5,5,3,3,1,1,5,0,5,4,0,3,0,4,2,5,0,0,2,0,0,3,1,5,4,2,0,1,2,3,0,0,4,1,5,4,4,1,2,3,5,3,4
Far Mattussevich,M,56,6,64,1,4,4,0,3,5,3,1,0,4,5,5,4,1,3,5,0,1,0,3,3,4,2,1,0,1,0,5,0,0,5,1,1,5,0,3,4,1,1,5,4,4,3,5,4,4
Aigneis Kuhl,F,25,11,547,1,2,4,5,0,2,2,5,3,2,2,0,4,0,2,5,4,3,0,1,5,4,3,2,3,1,1,4,2,1,5,2,3,3,0,0,4,3,4,5,5,4,3,2,4,3
Doug Robinett,M,56,15,88,3,2,4,0,5,0,2,4,3,0,5,2,3,4,2,3,2,5,3,5,1,4,5,5,4,4,3,2,4,4,4,3,3,3,0,4,5,3,4,1,0,0,3,3,3,4
Sibel Gauld,F,18,16,944,0,4,1,0,5,5,0,3,3,4,3,1,2,5,5,4,1,4,0,2,3,5,2,1,3,4,0,0,3,1,5,1,0,3,1,5,2,2,4,5,5,3,3,5,0,0
Valida Clarke-Williams,F,1,8,815,4,4,0,5,3,5,1,0,3,4,0,0,0,4,1,5,1,4,5,5,0,2,4,3,0,4,4,4,5,4,2,4,3,2,2,2,5,5,4,3,4,5,2,1,0,4
Boone Prigg,M,18,10,331,0,0,2,3,5,3,0,5,4,1,2,0,4,1,2,3,3,1,4,0,4,1,5,0,4,2,0,0,3,1,1,0,1,2,0,1,4,2,0,3,1,4,1,4,3,2
Anetta Kauschke,F,45,20,30,3,0,0,5,0,2,1,3,0,0,3,5,0,2,5,4,3,4,0,2,1,3,5,5,4,1,0,5,0,5,2,3,1,4,2,5,1,5,3,0,2,4,1,1,2,0
Lorianna Margaret,F,1,2,465,5,4,3,2,4,2,0,2,5,2,0,0,0,5,2,1,0,0,1,0,1,1,2,0,5,2,2,2,1,2,2,4,4,0,2,3,5,4,1,5,2,1,1,1,4,2
Ursula Pinnere,F,56,11,933,0,1,0,4,5,4,3,5,1,1,4,1,0,0,1,5,5,3,2,1,3,2,5,3,1,2,4,2,5,4,1,3,2,0,4,2,0,5,2,4,1,5,1,0,1,0
Alphard Scarlett,M,56,15,540,0,2,0,4,2,2,1,3,4,1,0,1,5,1,4,2,3,4,2,3,0,2,5,1,5,1,0,2,3,1,0,3,1,5,5,0,3,2,1,2,4,5,3,3,4,2
Kip Pawelke,M,56,3,376,0,2,0,0,1,3,4,0,1,0,4,2,0,0,1,3,4,5,1,4,4,3,5,0,0,1,3,0,1,4,2,3,1,5,0,0,2,4,3,0,1,0,4,1,0,4
Dalila McClarence,F,35,10,229,2,0,2,5,1,4,4,4,4,1,1,0,5,1,1,5,3,4,2,5,0,5,4,3,5,4,4,0,3,4,3,3,3,4,4,4,4,0,5,0,0,3,4,1,3,4
Joelly Getley,F,56,3,329,0,4,0,2,0,3,0,1,1,2,1,0,4,4,3,3,2,3,1,0,4,3,2,2,2,0,3,1,2,0,0,4,1,2,4,4,5,2,4,3,4,0,3,3,0,2
Lonee Trench,F,50,18,662,2,1,1,1,2,2,1,5,3,3,2,5,4,4,3,0,3,3,2,2,1,2,3,4,4,1,5,0,2,3,4,5,0,3,1,1,3,2,1,4,0,5,3,3,5,0
Margarethe Rodenburgh,F,1,15,223,5,0,4,1,3,2,0,1,0,0,1,2,0,2,0,5,5,4,5,0,4,2,4,5,0,3,2,1,0,1,0,2,5,5,1,0,4,0,1,4,3,5,5,2,4,4
Bancroft Danzig,M,1,3,201,1,1,3,3,2,4,3,1,2,2,2,5,4,3,3,1,1,1,2,0,5,4,4,5,4,2,0,1,2,3,1,3,4,1,0,1,4,4,1,2,5,2,5,5,2,4
