Name,Gender,Age,Occupation,ZIP-code,2,56,247,260,653,673,810,885,1009,1073,1097,1126,1525,1654,1702,1750,1881,1920,1967,2017,2021,2043,2086,2087,2093,2100,2105,2138,2143,2174,2193,2253,2399,2628,2797,2872,2968,3393,3438,3439,3440,3466,3479,3489,3877,3889
Scarlet Duckham,F,50,2,20,0,4,0,5,4,5,0,0,5,0,0,5,0,5,2,1,4,2,4,0,5,1,3,4,5,5,1,0,3,0,0,5,2,3,4,5,0,2,1,0,0,0,0,5,2,4
Ferne Antoinet,F,18,4,452,4,2,4,3,0,4,3,0,2,1,2,5,0,0,4,5,0,0,4,1,5,1,0,1,3,0,3,5,5,5,5,5,5,3,4,5,4,2,1,3,0,0,0,4,2,3
Fenelia Santello,F,35,1,322,4,3,3,1,1,1,4,2,4,1,4,5,3,1,5,0,5,4,0,4,1,2,4,4,3,4,2,2,0,4,0,1,4,1,2,5,4,2,3,0,5,4,5,1,0,4
Mickey Surgison,M,1,2,445,0,2,3,5,0,0,4,1,0,2,2,1,3,3,5,4,0,5,5,3,2,4,0,4,3,5,4,2,0,2,3,3,4,2,4,5,2,1,0,2,3,0,2,0,2,4
Boony Hughson,M,50,6,273,3,3,5,5,3,0,4,0,0,2,2,0,2,1,0,0,1,1,0,0,2,4,4,0,3,4,1,4,1,5,1,0,0,4,3,0,4,2,3,0,5,1,0,3,0,2
Chad Fuxman,M,18,0,904,3,0,2,4,0,5,3,0,1,0,0,0,0,0,3,0,0,0,1,0,5,0,0,4,0,0,3,4,0,2,3,0,0,2,5,0,4,5,4,1,0,4,0,0,0,0
Leonerd Terrelly,M,50,1,410,4,0,1,0,1,1,2,0,4,3,5,4,0,0,0,0,0,0,0,0,0,2,0,3,5,4,5,0,2,0,5,3,5,4,2,5,5,3,0,0,0,0,4,2,1,4
Olag Eckh,M,45,16,563,1,0,0,0,2,1,3,0,0,2,0,2,5,5,2,1,4,0,0,3,4,0,0,2,0,2,4,5,2,4,5,1,0,4,3,4,2,0,5,1,0,3,1,5,5,0
Rozella Tockell,F,18,19,178,3,2,2,5,2,0,1,0,0,0,4,2,0,3,4,0,3,1,1,1,5,2,2,3,5,0,5,4,2,5,5,2,4,5,5,4,3,2,2,4,0,4,0,1,0,3
Rodolfo Betty,M,18,7,953,2,2,4,4,1,3,2,0,0,3,0,3,2,0,1,5,5,0,0,3,2,2,2,3,5,3,4,0,2,5,5,1,5,5,0,1,5,2,4,2,0,1,2,4,1,3
Courtney Brotherhood,F,25,16,322,0,4,0,4,3,3,0,0,0,5,3,2,0,0,0,2,0,0,5,0,3,3,2,0,0,4,2,3,3,0,5,3,2,5,0,2,1,0,4,0,0,0,3,0,3,0
Reilly Rushforth,M,50,0,480,0,4,1,1,2,2,0,0,1,0,1,1,0,0,0,5,0,0,0,0,0,0,0,4,0,0,1,5,0,4,3,4,0,4,2,2,4,0,2,0,0,0,5,3,2,0
Zachary McGarry,M,35,16,525,4,1,0,2,4,2,2,0,0,5,4,3,2,0,5,3,1,5,5,4,1,0,0,5,5,0,3,1,3,1,1,5,0,3,1,5,5,0,4,5,0,4,3,1,1,4
Itch Aizlewood,M,50,17,790,1,0,5,3,3,4,1,0,3,5,4,5,0,0,0,2,0,0,0,0,2,4,0,4,3,0,1,3,1,3,2,5,2,4,0,2,1,2,3,2,0,3,5,2,3,1
Walt Screwton,M,25,7,492,4,0,3,5,2,0,1,5,0,3,4,3,3,0,5,1,0,5,5,0,1,0,2,1,0,0,3,2,5,0,5,3,0,2,0,5,2,1,0,1,0,4,5,3,2,1
Stefano Petz,M,18,10,64,4,1,3,4,1,3,0,0,0,0,2,0,0,4,0,0,4,4,3,0,0,0,0,0,0,3,3,0,0,1,0,3,0,0,0,5,2,0,3,4,1,5,4,0,2,0
Nerty Wheeliker,F,18,17,87,0,0,3,1,3,3,0,0,1,3,5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,4,4,0,0,0,0,3,5,0,0,0,0,0,4,0,0,0,2,0,0,0
Humberto Harby,M,50,15,544,3,1,0,4,0,4,1,2,0,1,3,2,3,1,5,3,3,5,3,0,1,2,2,2,4,2,1,2,2,1,5,5,4,2,0,5,4,2,4,1,5,4,5,2,5,5
